"sys_pk","sys_timestamp","sys_guid","sys_dtcreated","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_info","sys_recver","sys_deleted","sys_lock","uf_cve","uf_nombre","uf_descripcion"
"30","2016-01-01 12:00:00","48b42954fe684304b9d9c2b5d5dfd777","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"128","AUTOFIN","Banco Autofin México, S.A. Institución de Banca Múltiple"
"31","2016-01-01 12:00:00","2cb29db28fc94b10baaf066fee7c8fc2","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"129","BARCLAYS","Barclays Bank México, S.A., Institución de Banca Múltiple, Grupo Financiero Barclays México"
"32","2016-01-01 12:00:00","21fdac3353194149b5ee61ef0081f767","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"130","COMPARTAMOS","Banco Compartamos, S.A., Institución de Banca Múltiple"
"33","2016-01-01 12:00:00","2a8735f1fd4f4d869fd527106e0dc331","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"131","BANCO FAMSA","Banco Ahorro Famsa, S.A., Institución de Banca Múltiple"
"34","2016-01-01 12:00:00","aa292930065949cb9349f7751fa142ae","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"132","BMULTIVA","Banco Multiva, S.A., Institución de Banca Múltiple, Multivalores Grupo Financiero"
"35","2016-01-01 12:00:00","ad21ed86b3ce46e1b3c447824fc77d28","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"133","ACTINVER","Banco Actinver, S.A. Institución de Banca Múltiple, Grupo Financiero Actinver"
"36","2016-01-01 12:00:00","8e2b4e34e7e148a087882e11728b305d","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"134","WAL-MART","Banco Wal-Mart de México Adelante, S.A., Institución de Banca Múltiple"
"37","2016-01-01 12:00:00","118ed519526a49aea17d56f9e14ddee5","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"135","NAFIN","Nacional Financiera, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
"38","2016-01-01 12:00:00","28164580facd4b7ea9a7cd4304af5989","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"136","INTERBANCO","Inter Banco, S.A. Institución de Banca Múltiple"
"39","2016-01-01 12:00:00","77e908a080394d10a4f79a80b2690073","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"137","BANCOPPEL","BanCoppel, S.A., Institución de Banca Múltiple"
"40","2016-01-01 12:00:00","9cacfc98b6ee4179a0eca60415c0b0f9","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"138","ABC CAPITAL","ABC Capital, S.A., Institución de Banca Múltiple"
"41","2016-01-01 12:00:00","2dceed0889a0408092fa248e0a6a4caf","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"139","UBS BANK","UBS Bank México, S.A., Institución de Banca Múltiple, UBS Grupo Financiero"
"42","2016-01-01 12:00:00","5969ffec16244f9aa57358c7585e92b5","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"140","CONSUBANCO","Consubanco, S.A. Institución de Banca Múltiple"
"43","2016-01-01 12:00:00","9b39775153f44b0981b6fc9970dfd5c8","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"141","VOLKSWAGEN","Volkswagen Bank, S.A., Institución de Banca Múltiple"
"44","2016-01-01 12:00:00","8fe90f07ccce4111b4dbf7ea1a862eb4","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"143","CIBANCO","CIBanco, S.A."
"45","2016-01-01 12:00:00","deda2ff837414c98b68132e536fbba10","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"145","BBASE","Banco Base, S.A., Institución de Banca Múltiple"
"46","2016-01-01 12:00:00","831d5c3255f54f7ca49c5c103c4e447c","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"166","BANSEFI","Banco del Ahorro Nacional y Servicios Financieros, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
"47","2016-01-01 12:00:00","d744ed7a4d2c485385fa0c79dbec3b2b","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"168","HIPOTECARIA FEDERAL","Sociedad Hipotecaria Federal, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
"48","2016-01-01 12:00:00","ec0a5ca2db6843d289fdf6e59eabf9a3","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"600","MONEXCB","Monex Casa de Bolsa, S.A. de C.V. Monex Grupo Financiero"
"49","2016-01-01 12:00:00","a3ce1bb93bba451fa03e21ae581efa42","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"601","GBM","GBM Grupo Bursátil Mexicano, S.A. de C.V. Casa de Bolsa"
"50","2016-01-01 12:00:00","4c10c4525d324192b165a313c10788bb","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"602","MASARI","Masari Casa de Bolsa, S.A."
"51","2016-01-01 12:00:00","f7b6849971c0423682216b60059134f0","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"605","VALUE","Value, S.A. de C.V. Casa de Bolsa"
"52","2016-01-01 12:00:00","323802ba3fac4fb2a58ff169a5fbf52e","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"606","ESTRUCTURADORES","Estructuradores del Mercado de Valores Casa de Bolsa, S.A. de C.V."
"53","2016-01-01 12:00:00","0b52318ba1564d3a841b9381a8f5dc9e","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"607","TIBER","Casa de Cambio Tiber, S.A. de C.V."
"54","2016-01-01 12:00:00","a1599d964ede4e7fa8915a0305f9c6c4","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"608","VECTOR","Vector Casa de Bolsa, S.A. de C.V."
"55","2016-01-01 12:00:00","a65b7735c91046b7882904a82d4e59e3","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"610","B&B","B y B, Casa de Cambio, S.A. de C.V."
"56","2016-01-01 12:00:00","b1ae6a7ec28b453a9b7dad2517e0c8e7","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"614","ACCIVAL","Acciones y Valores Banamex, S.A. de C.V., Casa de Bolsa"
"57","2016-01-01 12:00:00","419421c9e2664f79975baae662d2cfb1","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"615","MERRILL LYNCH","Merrill Lynch México, S.A. de C.V. Casa de Bolsa"
"58","2016-01-01 12:00:00","81c646a043174e48af1420a229cf3075","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"616","FINAMEX","Casa de Bolsa Finamex, S.A. de C.V."
"59","2016-01-01 12:00:00","bc617ef8e08c4e7f9a73979a38a3ff11","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"617","VALMEX","Valores Mexicanos Casa de Bolsa, S.A. de C.V."
