"id","title","icon96x96","src","_blank","appid","cat"
"nomina.list","Nóminas","/$/rhgf/img/icons/nominas-96x96.png","/!/rhgf/nomina/","0","nomina","0020"
"variables.list","Variables y fórmulas","/$/rhgf/img/icons/var-formulas-96x96.png","/!/rhgf/variable/","0","variables","0090"
"tcontratos.list","Tipo de contratos","/$/rhgf/img/icons/tcontratos-96x96.png","/!/rhgf/tipo-contrato/","0","tcontratos","0090"
"cnomina.list","Conceptos de cálculo Nóminas","/$/rhgf/img/icons/cnomina-96x96.png","/!/rhgf/concepto-nomina/","0","cnomina","0090"
"tablas.list","Tablas de cálculos fiscales","/$/rhgf/img/icons/tablas-96x96.png","/!/rhgf/tablas/","0","tablas","0090"
"gconceptos.list","Grupos de conceptos","/$/rhgf/img/icons/gconceptos-96x96.png","/!/rhgf/grupos-conceptos/","0","gconceptos","0090"
"tnomina.list","Tipos de nóminas","/$/rhgf/img/icons/tnomina-96x96.png","/!/rhgf/tipo-nomina/","0","tnomina","0090"
"rhgf.empleados.list","Empleados","/$/rhgf/img/icons/empleados-96x96.png","/!/rhgf/empleados/","0","rhgf.empleados","0090"
"rhgf.organizacion.list","Organización","/$/rhgf/img/icons/organizacion-96x96.png","/!/rhgf/organizacion/","0","rhgf.organizacion","0090"
